node1 node2 combined_score
TNF FADD 0.19
MRE11A ERCC1 0.579
ORC1L RAD52 0.579
ATR LIG1 0.238
CFLAR CASP6 0.619
ATM TOPBP1 0.621
PAK7 BAD 0.619
RAD51 MSH3 0.184
CASP7 TNFRSF1A 0.845
RFC3 POLD1 0.899
PARP1 XRCC1 0.998
CHEK1 PRKAR2B 0.294
BCL2 BAD 0.999
BRCA1 CDK7 0.621
IKBKG NFKB1 0.907
PCNA NBN 0.356
RAD23B MNAT1 0.901
ERCC4 MNAT1 0.899
ERCC2 RAD50 0.581
APAF1 CASP7 0.899
POLE RAD50 0.235
RFC5 POLD1 0.899
CHEK2 RAD52 0.575
RPA1 MSH6 0.575
LIG4 PARP2 0.388
HMGB1 RPA1 0.226
MYD88 IKBKB 0.959
NBN TOPBP1 0.621
BRCA1 MRE11A 0.997
XRCC4 PRKDC 0.983
POLD2 RPA1 0.575
RAD52 RFC4 0.16
RAD54L POLD1 0.235
RAD54B RFC1 0.294
PIK3CD PIK3CG 0.619
MRE11A RAD51 0.947
ATR RPA1 0.734
TNFRSF10D TNFRSF10A 0.621
PIK3R5 PIK3CA 0.557
BRAP DDB1 0.621
ERCC4 MSH3 0.226
CHUK TRADD 0.899
APAF1 CASP9 0.999
GTF2H5 GTF2H3 0.621
POLD1 APEX1 0.917
XRCC5 RAD51 0.191
RAD50 RPA1 0.615
FASLG TNFRSF1A 0.812
CFLAR BCL2L1 0.619
POLE ERCC1 0.353
RPA2 ORC1L 0.931
DCLRE1C LIG4 0.899
IKBKB TNFSF10 0.899
OGG1 DMC1 0.24
XRCC6 DDB2 0.619
MRE11A MUS81 0.384
ERCC5 RPA1 0.288
TRAF2 NFKBIA 0.8
XRCC6 XRCC4 0.959
MRE11A NBN 0.999
CASP7 BIRC3 0.959
ATM RAD50 0.928
IKBKG TNFRSF10B 0.899
XRCC6 MSH6 0.619
NTRK1 PIK3R3 0.8
CASP9 CASP6 0.899
BCL2 PPP3R1 0.621
PRKACG PRKAR1B 0.899
RELA IKBKB 0.998
ATR DDB1 0.346
RAD17 RFC3 0.983
ERCC4 MUS81 0.581
IKBKG NFKBIA 0.999
XPA POLE 0.293
XAB2 ERCC3 0.899
TP53 NFKBIA 0.621
RAD54B PAK7 0.16
PCNA MSH2 0.938
PCNA RPA1 0.974
MSH3 MSH6 0.901
LIG4 ATR 0.571
MRE11A PRKDC 0.907
XPA ERCC3 0.899
CHUK BIRC2 0.54
RELA BIRC3 0.899
PARP1 XRCC6 0.988
RAD52 MRE11A 0.599
GTF2H1 CDK7 0.998
RAD52 XRCC5 0.671
RAD51 RAD50 0.947
APAF1 BIRC3 0.924
CSF2RB BAX 0.8
PRKDC CHEK1 0.825
MAP3K14 CFLAR 0.619
IKBKB RIPK1 0.959
PNKP XRCC1 0.976
PIK3CD PIK3R5 0.412
PCNA MSH3 0.974
ATM MSH4 0.899
BIRC3 NFKBIA 0.899
CASP9 BIRC2 0.983
IL1B IL1RAP 0.996
ATM RAD51 0.959
MAP3K14 NFKB1 0.8
DDB1 UNG 0.619
RAD52 DMC1 0.226
RAD23B ERCC8 0.899
TNF IKBKG 0.845
ERCC2 RFC1 0.386
CASP9 CAPN2 0.621
CHEK1 TP53 0.999
RIPK1 TRAF2 0.999
POLD2 RFC4 0.918
RAD23B CCNH 0.899
RAD17 LIG1 0.581
OGG1 RAD51 0.24
POLE ERCC4 0.23
XPA ERCC1 0.998
RPA2 CHEK1 0.619
ERCC4 ERCC1 0.999
PIK3CD IL3 0.619
BCL2L1 CAPN1 0.619
TRAF2 BIRC2 0.999
ERCC2 RPA3 0.899
RAD54L RFC1 0.294
FEN1 RAD51 0.388
IKBKG IRAK4 0.899
PCNA PARP1 0.988
PRKDC MLH1 0.307
RAD52 POLD1 0.577
RAD23B ERCC1 0.899
DDB1 DDB2 0.999
CASP3 CASP6 0.983
NFKBIA TNFRSF1A 0.899
RAD52 ERCC3 0.621
RELA IRAK4 0.236
PIK3CD PIK3R3 0.36
ERCC4 RAD50 0.581
ORC1L ATR 0.575
EXO1 ATM 0.621
RAD54B CHEK1 0.2
IL1R1 NFKB1 0.899
PIK3CB AKT3 0.837
CAPN1 CAPNS1 0.845
RAD52 RAD50 0.669
PIK3CG PIK3CB 0.899
DDB1 XPC 0.959
CCNH ERCC1 0.899
CFLAR TP53 0.845
PIK3CA IL1R1 0.899
HMGB1 PRKDC 0.621
MRE11A ATM 0.973
NGF NFKBIA 0.899
MUS81 POLD1 0.575
CSF2RB PIK3CD 0.8
BRCA2 BRCA1 0.999
ERCC2 RAD17 0.387
RAD54L MUS81 0.575
IL3RA PIK3R2 0.8
PIK3CD PIK3CA 0.36
IRAK4 IL1R1 0.959
RPA2 ATM 0.621
XRCC6 ERCC4 0.581
PCNA RAD52 0.603
IKBKG NFKB2 0.962
CHUK IKBKG 0.999
PRKDC AKT1 0.959
RELA PARP1 0.938
CDK7 ERCC1 0.899
TDG XPC 0.621
XPA MLH3 0.234
ERCC3 XPC 0.959
TOPBP1 RPA1 0.621
ERCC3 RPA3 0.899
PARP1 PARP2 0.937
PIK3CD PIK3R2 0.959
PPP3CB CYCS 0.899
OGG1 POLD1 0.252
BRCA2 MLH1 0.899
TP53 DDB2 0.899
CASP3 RAD51 0.621
TRADD TNFRSF10B 0.959
RELA BAX 0.899
IRAK4 IKBKB 0.899
BCL2 CAPN2 0.619
RAD1 CHEK1 0.581
CYCS BCL2L1 0.621
ERCC2 DDB1 0.899
EXO1 POLD1 0.577
PIK3CG AKT1 0.917
XPA RAD1 0.579
POLE RFC1 0.908
PIK3R1 PIK3R3 0.899
POLE MSH3 0.577
IKBKB CFLAR 0.619
DDB1 ERCC1 0.92
ERCC5 CDK7 0.967
RAD52 OGG1 0.238
RAD17 RPA1 0.296
RAD1 CDC6 0.386
CHUK AKT3 0.8
GTF2H5 GTF2H4 0.845
PIK3CG CASP9 0.8
RELA PRKACA 0.846
CASP9 BAX 0.8
NTRK1 PIK3R5 0.8
EXO1 ERCC1 0.346
DDB2 CDK7 0.899
FAS BAD 0.385
BRCA2 MSH4 0.899
MAP3K14 MSH6 0.179
RFC3 MUS81 0.232
ERCC4 POLD1 0.934
BRCA2 RAD50 0.899
IL3RA PIK3R3 0.8
RAD52 CDC6 0.356
ERCC2 ERCC3 0.997
NGF PIK3CB 0.899
ATM TP53 0.999
IL1B NFKB1 0.899
PRKDC RPA1 0.619
CHEK2 CDC6 0.575
CASP10 TNFRSF1A 0.923
RFC1 RPA1 0.633
CHUK AKT1 0.996
XPA ATM 0.621
PPP3CA CYCS 0.899
CAST PIK3R1 0.228
TNFRSF10C TP53 0.899
TNFRSF10C TNFSF10 0.983
RAD52 RAD51 0.999
PARP1 MRE11A 0.621
POLD1 ERCC1 0.934
FAS RIPK1 0.953
XPA DMC1 0.295
ERCC3 GTF2H4 0.997
BRCA1 XRCC1 0.621
FADD TRAF2 0.619
CHEK2 MRE11A 0.899
RFC3 MSH2 0.386
RAD50 RPA3 0.899
NFKB1 NFKBIA 0.999
RAD50 CDC6 0.227
AKT1 NFKBIA 0.8
RFC4 RFC1 0.999
CASP8 FADD 0.999
CFLAR CASP7 0.619
RAD1 RAD54B 0.227
DDB1 TP53 0.385
XPA DDB1 0.899
MSH5 RAD52 0.163
RAD52 RAD23A 0.2
DCLRE1C PNKP 0.899
MSH5 RPA2 0.224
PMS2 MSH2 0.841
IL3RA PIK3R1 0.899
FEN1 MSH3 0.291
BRCA1 RFC1 0.333
XRCC5 MSH6 0.619
GTF2H2 CCNH 0.959
XRCC6 HMGB1 0.19
BCL2 AKT1 0.8
PARP1 XRCC5 0.994
IKBKB PRKDC 0.621
POLE RPA3 0.899
CHEK2 EXO1 0.575
AKT1 TOPBP1 0.619
TNF BIRC2 0.621
PARP1 BCL2 0.621
BRCA2 RPA2 0.619
MAP3K14 TNFRSF1A 0.899
PIK3CA NFKBIA 0.899
IRAK4 NFKB1 0.236
TP53 RAD51 0.988
BID CAPN1 0.619
PIK3CB AKT1 0.918
RIPK1 BIRC2 0.996
XRCC6 DMC1 0.388
AKT1 PIK3CA 0.917
MAP3K14 BIRC2 0.959
CASP7 CASP6 0.619
ATM MSH6 0.333
NGF NFKB1 0.899
ATM NBN 0.982
RPA1 RPA3 0.999
POLD1 MLH1 0.577
RAD54L MRE11A 0.294
RFC3 RPA3 0.899
ATR TOPBP1 0.619
PAK7 RPA3 0.228
IKBKG AKT1 0.975
RAD17 PRKDC 0.571
CHEK2 DMC1 0.29
ERCC5 RAD51 0.489
RFC5 RPA2 0.601
PPP3CB CHEK2 0.268
IKBKG AKT3 0.8
PCNA XRCC5 0.974
RAD17 ORC1L 0.579
RAD54B RAD51 0.621
AKT2 PIK3R2 0.8
MUS81 RFC1 0.386
RAD52 PMS2L3 0.203
RAD23B ERCC3 0.959
XRCC6 PNKP 0.945
POLE CHEK1 0.615
MBD4 MLH1 0.621
RAD54L FEN1 0.388
NBN RAD50 0.999
CSF2RB IL3 0.997
XPA APEX1 0.577
CHEK2 ATM 0.993
BRCA2 DMC1 0.845
PIK3R1 NFKB1 0.901
XPA RPA1 0.845
IKBKG CASP6 0.204
CHEK2 MUS81 0.845
ATR DDB2 0.386
DDB2 MSH6 0.575
MLH1 DMC1 0.344
NGF PIK3R2 0.899
RELA CHEK1 0.825
CETN2 ERCC1 0.899
PRKACA CAPN1 0.23
ATR RAD1 0.619
TNF TNFRSF1A 0.984
POLD2 APAF1 0.19
RAD1 MRE11A 0.492
POLE FEN1 0.581
ERCC3 GTF2H2 0.983
CFLAR CASP10 0.998
TRADD IKBKB 0.899
RFC1 CDC6 0.205
GTF2H5 ERCC3 0.845
CASP3 CASP10 0.993
PCNA ATR 0.671
PRKACB PRKACA 0.899
BRCA1 PARP2 0.247
RELA RFC1 0.621
BRCA2 RAD51 0.999
POLE RFC4 0.934
PCNA PRKDC 0.849
ERCC5 MSH2 0.581
CFLAR TNFRSF10A 0.933
RAD50 DMC1 0.505
PNKP NTHL1 0.607
CASP9 AKT3 0.8
DDB1 MSH2 0.228
RAD51 NTHL1 0.229
EXO1 MSH4 0.238
XAB2 GTF2H3 0.899
OGG1 MSH3 0.577
IL1B IRAK2 0.899
PIK3R5 PIK3R2 0.899
PRKDC CASP3 0.621
TP53 APEX1 0.621
RFC5 CDC6 0.915
RAD50 TOPBP1 0.609
CHEK1 LIG1 0.669
XRCC6 ATM 0.74
TRADD TNFRSF10A 0.959
IKBKB AKT1 0.983
PRKACB PRKAR1B 0.899
XRCC4 NBN 0.621
XPC GTF2H1 0.983
ERCC5 DDB1 0.905
RAD17 RAD51 0.505
PPP3CA PPP3R1 0.999
AKT2 NFKB1 0.805
PARP1 LIG4 0.388
RFC3 POLD4 0.899
BID BAX 0.983
MRE11A EXO1 0.671
MRE11A POLD1 0.575
ERCC4 RPA1 0.633
DFFA CASP3 0.959
APAF1 BIRC2 0.924
IRAK1 MAP3K14 0.8
POLD2 RPA3 0.899
PRKACG CHEK1 0.293
RAD51 DMC1 0.621
MUTYH RAD1 0.607
CASP8 RIPK1 0.999
DDB2 RPA3 0.899
CHEK2 RFC3 0.577
CASP9 PIK3R3 0.8
XRCC5 TP53 0.899
XPA PMS2L3 0.234
RAD17 MSH5 0.224
RAD52 RFC1 0.386
ATM RFC1 0.333
CHUK FASLG 0.899
CHEK2 POLD1 0.577
IKBKB FADD 0.899
PIK3CB PIK3CA 0.899
POLD4 RPA3 0.899
IRAK1 TNFRSF1A 0.356
XPA CDK7 0.899
DCLRE1C MLH1 0.238
CHEK2 RAD51 0.488
TP53 MSH2 0.983
GTF2H3 RPA3 0.899
XPC MSH2 0.232
MYD88 IL1R1 0.997
DDB1 PMS2 0.207
GTF2H5 GTF2H2 0.845
RELA PIK3CA 0.899
CHUK TP53 0.621
CASP9 AKT1 0.959
POLE POLD4 0.619
BID TNFRSF1A 0.95
CASP3 IL1R1 0.8
BCL2L1 PIK3CA 0.899
PIK3CA PIK3R3 0.999
OGG1 NTHL1 0.607
NTHL1 APEX1 0.577
XRCC6 RAD1 0.581
GTF2H2 GTF2H4 0.998
BCL2 CASP10 0.621
APEX2 POLE 0.227
CHEK1 PRKAR2A 0.294
EXO1 RAD51 0.236
FADD TNFRSF1A 0.996
CSF2RB IL3RA 0.959
RAD1 POLD1 0.671
MSH4 RPA1 0.621
ORC1L CDC6 0.999
ATR MSH2 0.845
LIG4 PRKDC 0.981
NGF BAD 0.899
NGF PIK3CA 0.899
PRKACA CHEK1 0.293
BIRC2 TNFRSF1A 0.993
PCNA XPA 0.488
DCLRE1C XRCC4 0.899
PIK3CG PIK3R2 0.957
TP53 MLH1 0.899
FASLG RIPK1 0.899
ERCC3 ERCC8 0.899
RAD17 RAD54B 0.388
PCNA EXO1 0.621
CASP9 CASP10 0.621
CHUK IKBKB 0.999
XPC MSH3 0.228
RAD23A GTF2H4 0.16
PPP3CA PPP3CC 0.899
LIG3 XRCC5 0.619
CASP3 AIFM1 0.621
CHEK2 BRCA1 0.997
PIK3CD AKT1 0.837
RAD51 MSH2 0.619
RFC5 RFC3 0.974
DCLRE1C BRCA1 0.619
PCNA RAD51 0.913
RIPK1 TNFSF10 0.899
XPA MUS81 0.385
PCNA CHEK1 0.621
ATR POLE 0.575
BAD PRKAR2B 0.8
EXO1 PMS2 0.885
PMS2 TOPBP1 0.619
RAD50 RFC1 0.333
FASLG FAS 0.999
PIK3CG PIK3R3 0.954
BRCA2 MRE11A 0.899
XRCC4 MRE11A 0.899
RPA2 XRCC6 0.619
LIG3 RFC1 0.235
PIK3CB PIK3R3 0.959
XRCC6 DDB1 0.252
RPA2 ATR 0.619
CAPN2 CAPNS1 0.992
FASLG PIK3R1 0.657
BRCA1 NFKB1 0.619
CHUK TNFRSF10A 0.899
RPA3 ERCC1 0.899
MUTYH APEX2 0.619
RELA AKT2 0.802
OGG1 XRCC1 0.621
MSH3 RPA1 0.388
IRAK1 IRAK4 0.999
CASP3 FADD 0.899
PRKAR2B PRKAR2A 0.899
AKT2 BCL2L1 0.8
RFC5 POLE 0.899
RFC3 POLD3 0.899
AKT3 NFKB1 0.805
POLE MUS81 0.23
XPC GTF2H4 0.619
CFLAR BIRC2 0.899
RPA2 MSH3 0.388
ERCC3 CCNH 0.999
MRE11A DMC1 0.505
FASLG CASP10 0.991
GTF2H1 CCNH 0.998
MYD88 IKBKG 0.899
BRCA1 SHFM1 0.619
RAD54L RPA1 0.2
PIK3CB PIK3R5 0.908
MAP3K14 IKBKB 0.998
OGG1 RAD50 0.26
XRCC5 MRE11A 0.756
RFC5 XRCC5 0.579
CAST CAPN2 0.621
RPA2 RAD1 0.619
RAD51 RPA3 0.946
LIG3 PIK3R1 0.238
MNAT1 ERCC1 0.899
RAD1 RFC1 0.386
NBN MLH1 0.333
GTF2H4 CCNH 0.899
XPA XPC 0.959
ERCC4 RPA3 0.899
PCNA APEX2 0.621
RELA PIK3R1 0.899
LIG3 RAD1 0.16
MSH2 MLH1 0.866
BCL2 BCL2L1 0.988
IKBKG NGF 0.899
ORC1L RAD50 0.238
TRADD BID 0.899
FAS CASP10 0.986
RELA CASP8 0.899
RAD52 PMS2 0.202
IRAK4 IRAK2 0.998
BID RIPK1 0.899
ERCC5 DDB2 0.899
CASP8 TNFRSF10A 0.999
TNFRSF10D TNFSF10 0.993
DDB1 CCNH 0.899
CHEK2 RFC1 0.386
XPC CDK7 0.899
ERCC2 XPC 0.899
IKBKG ATR 0.621
POLD4 RFC4 0.899
PARP1 BRCA1 0.357
MUTYH RPA1 0.619
BRCA2 RPA1 0.619
GTF2H2 MNAT1 0.959
MSH3 ERCC1 0.386
PIK3CA NFKB1 0.899
POLE RAD51 0.188
CSF2RB PIK3CA 0.899
RFC3 DMC1 0.188
ERCC5 ERCC4 0.934
CDK7 RPA3 0.899
XRCC5 APEX1 0.621
PMS2 RFC1 0.229
HMGB1 TP53 0.931
MUS81 ERCC1 0.581
LIG4 RFC1 0.235
APEX2 TRAF2 0.154
MLH3 MLH1 0.983
RFC5 POLD3 0.899
TOPBP1 MSH6 0.619
GTF2H5 CDK7 0.619
FEN1 LIG1 0.581
LIG3 PARP1 0.619
POLD2 CHEK2 0.581
BIRC3 NFKB1 0.899
PNKP DMC1 0.2
RAD17 RFC1 0.845
RAD51 MSH6 0.619
PRKAR1B PRKACA 0.899
BAX TP53 0.959
BRCA1 NBN 0.954
IL3RA PIK3R5 0.8
ERCC5 ERCC3 0.988
FADD BIRC3 0.899
RAD17 XPA 0.579
EXO1 ERCC4 0.235
ERCC4 APEX1 0.386
PARP1 RFC4 0.386
BID FADD 0.95
RAD52 MSH2 0.579
POLD2 RFC1 0.918
TRADD NFKBIA 0.8
PRKACA BAD 0.967
NBN RFC1 0.333
RFC5 RFC4 0.998
BRCA2 CHEK1 0.899
RAD52 MSH3 0.575
PARP1 NFKB1 0.835
CETN2 RAD23B 0.959
RAD54L ERCC4 0.191
RAD52 RAD54B 0.388
RAD52 ATM 0.238
GTF2H1 MNAT1 0.959
PCNA PIK3CB 0.357
DDB2 ERCC1 0.899
RFC5 ORC1L 0.205
LIG4 ATM 0.571
MNAT1 DDB2 0.899
XRCC5 EXO1 0.669
XRCC6 SMG7 0.358
NFKB1 TNFRSF1A 0.899
POLD2 POLD4 0.959
RAD17 XRCC6 0.581
CHEK2 PCNA 0.669
ERCC5 GTF2H1 0.983
RAD23A TRAF2 0.154
FAS CFLAR 0.997
MRE11A MSH6 0.333
POLD2 PCNA 0.998
MRE11A RPA1 0.667
PRKACA CAPN2 0.231
ERCC5 MSH3 0.238
CHUK TNFRSF10B 0.899
BRCA2 RAD23A 0.591
IRAK4 MAP3K14 0.8
RAD51 MSH4 0.959
POLD3 APEX1 0.899
CHUK NFKB2 0.999
PMS2 MSH3 0.66
IKBKG TNFSF10 0.899
RAD23B RPA3 0.899
AKT3 PIK3R2 0.8
MAP3K14 NFKBIA 0.619
RELA NFKBIA 0.999
XPC ATM 0.619
PMS2 ERCC1 0.229
APEX2 PNKP 0.639
ERCC2 GTF2H3 0.983
XRCC1 APEX1 0.845
PIK3C2B PIK3R1 0.229
IKBKB TNFRSF10B 0.899
XRCC5 DMC1 0.191
ERCC5 MRE11A 0.386
EXO1 RPA1 0.288
PIK3R1 IL1RAP 0.621
MAP3K14 PPP3CC 0.224
MAP3K14 NFKB2 0.984
CASP10 TNFSF10 0.959
APEX2 RAD52 0.263
RFC4 LIG1 0.386
OGG1 MSH4 0.201
NTRK1 PIK3R2 0.8
XRCC5 RFC4 0.579
BRCA2 TP53 0.843
MLH1 NTHL1 0.579
ATR RAD51 0.491
RAD52 RAD23B 0.2
PCNA ERCC5 0.845
PNKP RAD51 0.2
RAD17 ATM 0.992
CASP3 RFC1 0.959
PRKACB BAD 0.8
BID TNFRSF10B 0.538
CETN2 PRKAR2B 0.899
ERCC2 XPA 0.934
MYD88 BIRC2 0.505
ERCC2 CCNH 0.983
PCNA POLD1 0.999
BAD PPP3CC 0.899
EXO1 DDB1 0.238
BRCA2 SHFM1 0.998
CHEK2 DDB1 0.384
PARP1 ATM 0.621
APEX2 TP53 0.621
DDB1 ERCC3 0.899
RAD17 POLD1 0.671
PIK3CG AKT3 0.834
PCNA RAD1 0.581
PARP1 PRKDC 0.845
CASP7 CASP10 0.621
MRE11A RAD50 0.999
RFC3 RAD51 0.188
PIK3CD CASP9 0.8
FASLG TNFRSF10B 0.538
LIG3 XRCC6 0.619
RAD1 TOPBP1 0.387
POLE CDC6 0.899
BAD BAX 0.72
RFC5 XRCC6 0.579
PRKAR1B PRKAR2B 0.899
RELA HMGB1 0.621
EXO1 CHEK1 0.232
IKBKB NFKBIA 0.999
XPA PMS2 0.29
BCL2 AKT3 0.8
ERCC5 GTF2H4 0.621
XRCC5 POLD1 0.621
NGF CASP3 0.899
FASLG BIRC2 0.899
DDB2 GTF2H3 0.899
CHEK2 LIG1 0.386
MRE11A POLE 0.386
IRAK4 IL1B 0.899
IRAK4 IL1RAP 0.8
XPA MSH2 0.619
CSF2RB IKBKB 0.899
ERCC4 XPC 0.959
POLE DMC1 0.188
RPA2 MSH4 0.224
RFC3 ORC1L 0.205
MRE11A MLH1 0.333
BRCA1 RAD51 0.997
IKBKB TNFRSF1A 0.997
BCL2 BAX 0.999
PNKP APEX1 0.577
XRCC5 ATM 0.23
RPA2 RPA1 0.999
CASP7 BIRC2 0.986
XPC DDB2 0.983
AKT2 PIK3R3 0.8
CAPN2 NFKBIA 0.621
CASP9 CYCS 0.621
PRKACG PRKAR2B 0.899
CETN2 ERCC8 0.899
RELA AKT1 0.802
POLE RPA1 0.386
CHEK2 MSH2 0.845
PARP1 TP53 0.988
FEN1 POLD3 0.899
ERCC4 DDB2 0.899
PIK3R1 PIK3CA 0.999
BIRC3 BIRC2 0.899
TNF FAS 0.619
RAD52 MLH3 0.202
BRCA1 GTF2H4 0.714
ERCC8 GTF2H3 0.899
FEN1 RPA1 0.581
IRAK4 NFKBIA 0.504
FADD MBD4 0.621
PRKACA PRKAR2A 0.713
IKBKG IRAK2 0.899
LIG4 XPC 0.23
TRADD IL1RAP 0.8
PCNA RPA3 0.959
IKBKG RIPK1 0.999
TNF RIPK1 0.994
DFFB NFKB1 0.288
XRCC6 POLD1 0.388
CHEK2 ATR 0.986
PARP1 IKBKB 0.341
ERCC2 MSH2 0.581
XRCC6 RPA1 0.669
XPA RAD51 0.294
AKT1 PIK3R3 0.899
PCNA PMS2L3 0.231
RAD52 NTHL1 0.579
BCL2L1 TP53 0.94
RAD23B DDB2 0.904
PNKP PRKDC 0.899
ERCC5 RFC1 0.227
MLH3 MSH6 0.698
IL3RA PIK3CA 0.899
MUTYH MSH6 0.621
CASP8 FAS 0.999
IRAK1 IKBKG 0.997
XPA GTF2H3 0.899
PPP3CB MAP3K14 0.224
CASP8 BIRC2 0.989
MNAT1 RPA3 0.899
CHUK CHEK1 0.571
IKBKG BIRC2 0.983
APAF1 BCL2 0.8
CHUK CASP10 0.899
IKBKG TRADD 0.899
ERCC3 GTF2H1 0.993
EXO1 MSH3 0.619
AKT2 PIK3R5 0.8
RPA2 PARP2 0.462
LIG4 XRCC4 0.999
CDK7 GTF2H3 0.983
BCL2L1 AKT1 0.8
TRADD IL1R1 0.8
MAP3K14 CASP3 0.619
AKT1 NFKB1 0.924
RAD50 MSH2 0.333
RPA2 RAD52 0.937
XRCC5 POLE 0.621
DCLRE1C EXO1 0.357
RAD1 ATM 0.744
XRCC6 ERCC1 0.492
RPA3 CDC6 0.899
XPA ATR 0.621
XRCC1 POLD1 0.619
ERCC5 ERCC1 0.934
XRCC6 RFC1 0.603
RAD54B FEN1 0.388
BID TP53 0.899
